Project Scorecard - SASE ,Weighting,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,,
Traffic Handling (packet or session),10,Session,1,2,Packet,5,10,Packet,5,10,"The Cato service delivers prioritization end-to-end from the point of the Cato socket device to the destination Cato socket. Customers can define and manage prioritization and bandwidth from a centralized location with as much granularity as required. Configuring the organization's QoS policies is done through BW Management profiles. These profiles define priorities and limit upstream/downstream bandwidth to a fixed speed or a percentage of the total bandwidth.
 
Analyzing QoS in real time or viewing historical data: When configuring a Cato site within the Cato Management Application (CMA), the administrator also configures the upstream/downstream bandwidth capacity. In this way, the Cato Cloud is aware of each link's capacity and can further leverage it in the QoS engine.
 
As part of the QoS engine, Cato continuously monitors each link’s quality matrix (congestion, packet loss, jitter, latency) and dynamically sends traffic over the best available link as configured in the PBR. Furthermore, Cato uses Weighted Random Early Drop (WRED). Before discarding a packet (due to lack of capacity), Cato buffers a minimum threshold of 250 packets and an upper threshold of 500 packets. You can analyze discarded packets using the analytics view.
 
Network rules allow the administrator to define Policy-Based Routing to steer traffic over Cato or other available transport paths (such as MPLS) while also controlling ISP Circuit selection, Packet Loss Mitigation, and more. The network rules can be based on Src / Dst, AD User or User Group, Application or Application Group, Service, and manually defined logical grouping.
 
The PBR comprises the following main functions:
 
• Transport Selection: you can define through which transport (such as Cato or Alt. WAN) to transfer specific traffic. For example, if a site has Alt. WAN (MPLS) as well as an internet link, you can define a PBR where certain WAN traffic is directed over MPLS while the remaining traffic and internet is directed over the Cato Cloud
• NIC Selection: you can define through which NIC to transfer specific traffic. For example, if a site has multiple internet lines, you can define a PBR where one NIC is used for all business apps while another NIC is used for non-business apps.
• Egressing or NAT from the Cato Cloud: you can select via which PoP(s) or IP(s) specific traffic should be egressed from the Cato Cloud, as explained in the following examples:
• Egressing from a specific location (Route via): If you want to optimize specific internet traffic to egress from the Cato Cloud closer to the target location, or to egress specific locations for localization purposes.
  
For each BW Management profile, you assign a number defining its priority. When you assign these prioritized profiles to the Network Rules, you effectively implement traffic prioritization, including throttling traffic per defined limits in the BW Management profile when links are congested.
 
 
Cato provides a set of predefined priorities (which can be added, modified, or deleted) assigned to the predefined network rules as follows:
  
P10: Prioritizing Voice & Video traffic across WAN and Internet
P20: Prioritizing RDP traffic across WAN and Internet
P30: Prioritizing SMB traffic across WAN and Internet
P40: Prioritizing the rest of the WAN traffic
Default: Prioritizing the rest of the Internet traffic is used as default priority when a Networking Rule doesn’t have a QoS context (meaning no specific priority should be assigned).",5,10,Yes,5,10,Per Session based,3,6,Packet and Session,3,6,"Packet for VeloCloud and BigLeaf, Session for Fortinet",5,10,Depending on platform (we have both),3,6,Windstream does have solutions which support both features.,3,6,"Near-Real Time Dynamic Routing uses software-defined networking to route your network traffic. You can set business- or application-specific policies to efficiently and dynamically share traffic loads across multiple WAN connections. As a result, you optimize your network traffic and help improve application performance. ",0,0,,
Can you shift traffic mid-session,10,Yes,3,6,Yes,5,10,Yes,5,10,Traffic is steered flow-by-flow but with packet-level failover and failback.,5,10,Yes,5,10,"yes, under certain circumstances where we use specific forwarding logic.  (ie. packet replication)",3,6,"Yes, on Packet-Based",3,6,Yes,5,10,Depending on Platform (YES),3,6,"Yes, Windstream does have solutions which support that feature.",3,6,Aruba appliances will shift traffic from bad connection to good wireline or wireless connection during transmission.  It's automated function of SDWAN.,3,6,,
Throughput monitoring,10,"Yes, with optional custom CBTS API integration",3,6,Throughput monitoring is included with every platform offered,5,10,"Yes, with optional custom CBTS API integration",3,6,"We measure, monitor, and report on key performance and capacity attributes and conduct regular reviews in the planning process.  Attributes must include storage capacity, throughput, and network throughput.",5,10,Yes,5,10,"Yes, probe packets are used to measure Latency, jitter and Packet loss.",0,0,"Yes, on Packet-Based",3,6,Yes,5,10,Yes,5,10,"Yes, Windstream does have solutions which support that feature.",5,10,We don't monitor Throughput.,0,0,,
"Do you support full mesh? If so, what is the maximum number of sites in a full mesh?",10,Yes. Palo's new  Brand Gateway Architecture can now support thousands of location across a global deployment.,5,10,"Sites all can reach each other through the POP and Cato network, or can connect directly.",5,10,Yes.  Thousands.,5,10,"Cato fully complies with either design, full/partial mesh.  Because we are user-aware (integrating with Active Directory), we can also offer partial mesh designs based on employees, business divisions and user-groups as opposed to the more traditional site-based topologies.

Mobile and remote users are also able to access the full/partial mesh of the Cato Cloud. Every POP also serves as a VPN concentrator so no matter where the user, their routing internally and externally will be optimized.",5,10,Yes; total sites in full mesh is dependent on number of circuits at each location. Meshing can be done on-demand to improve scalability allowing 1000s of sites to dynamically communicate directly with each other. ,5,10,"Yes, 100 sites are standard, anything higher requires engineering review and approval.",3,6,"Yes, 2500",5,10,"Yes, 6000 on the VeloCloud Edge 3810",5,10,Over 1000,5,10,"Yes, Windstream does have solutions which support that feature. Site max depends on the chosen solution. ",5,10,Full Mesh is supported on AT&T SDWAN topology.  To calculate the Total number of sites in  a Full Mesh network  will depend on the Total Tunnel Count per site.  The Aruba appliances are scaled to support specific MAX Tunnels. ,3,6,,
How do you connect into AWS and Azure?,10,Virtual SD-WAN instances or VPN into Palo Prisma or Cloudblades for AWS. Design depends on customer and application needs.,5,10,Via virtual CATO appliance in your AWS environment,5,10,Virtual SD-WAN instances or via Velo Cloud Gateways.  Design depends on customer and application needs.,3,6,"Cato natively supports cloud applications (SaaS) resources as well as cloud datacenters (IaaS) without additional configuration, complexity, or point solutions. Specific optimizations include Shared Internet Exchange Points.
Like content delivery networks (CDNs), the Cato PoPs collocate in data centers directly connected to the IXP of the leading IaaS providers, such as Amazon AWS, Microsoft Azure, and Google CloudPlatform. Traffic from Cato customer sites and devices is optimized and routed via the shortest and fastest path from the Cato Cloud to the customer’s cloud infrastructure provider. As a result, latency to the cloud is comparable to optimized access provided by cloud providers, such as AWS DirectConnect or Azure Express Route, without the additional charge of optimized access offerings.",5,10,Over commodity internet or private circuit  (ExpressRoute or Direct Connect),5,10,Virtual SDWAN Appliance via Terraform playbook into customer public cloud environment.,3,6,Yes (VIRTUAL APPLIANCE),3,6,IPSec Tunnel from cloud hosted gateway or customer can add a virtual VeloCloud Edge on the VMs.,5,10,Over the top or direct router * (customer expense) if requested,3,6,Windstream's Cloud Connect solution offers multiple geo-located private direct and shared ingress/egress points. ,5,10,"Customer may deploy an SD-WAN Virtual Edge in their Cloud Service Provider environment in Microsoft Azure, Amazon Web Services, Google Cloud Platform or Megaport.
AT&T will provide engineering support by AT&T Design Engineering, AT&T Implementation support, AT&T Integrated Service Experience, and AT&T Global Operations & Services Center. EdgeConnect Virtual (EC-V) appliances must be part of an AT&T SD-WAN with Aruba solution.
AT&T personnel will have no access to the customer’s Cloud service provider virtual compute resources, account, or console access to the virtual edge VNF.
AT&T may require Customer to access their cloud account to troubleshoot any problems that were identified in the CSP. AT&T and Aruba may participate in a troubleshooting triage with the Customer and the CSP to resolve the issue.
Cloud edges must always be part of a larger SD-WAN OTT solution that is provisioned as part of a larger MSP account for which AT&T has Orchestrator access. The virtual edge name as it appears in the Orchestrator must reflect a naming convention that conveys it is a virtual edge (e.g., xxCedge.xxx).",5,10,,
How do you license HA?,20,Hardware and Licensing is 2x.  Management and support is per site (1X),3,12,Hardware cost only - no additional license cost for HA,5,20,Second appliance is 50% of first.,3,12,"We have several Cato socket sizes, which are also offered in HA pairs.  These sockets are part of the subscription fee.
From the Socket to the Global Network the CATO Networks Platform is highly available throughout. The Socket can be deployed in HA, with Dual WAN which automatically tunnels to the nearest CATO PoP which is comprised of multiple Global Tier 1 providers in Tier 3 / 4 Datacenters across the globe. The physical infrastructure of the PoP itself is built in redundancy nodes all running the CATO network & security software stack. The Socket holds extra intelligence to automatically failover to the next closet PoP if the one nearest to it sustains a failure. Furthermore, if the CATO Global Network sustains a catastrophic failure, the Socket will fail open to the internet to allow traffic out and will automatically establish a site to site tunnel with each and every other Socket on the WAN, creating a Full VPN mesh.  ",5,20,No HA license required hardware only. ,5,20,Secondary HA appliance is licensed at 75% cost of the primary device,3,12,Yes,,0,2 devices w/ 1 License,5,20,1 per box or 1 per pair depending on platform,1,4,Yes,,0,AT&T will provide HA licnese for Two appliances,,0,,
How can you optimize traffic to each of the below SaaS platforms?,, ,,0,All of the below can be setup to arrive to the platform via hitting the CATO Cloud Gateways first or via direct internet breakout from the edge site. We welcome a discussion on what makes the most sense for your organizational needs while also prioritizing the traffing to/from these applications. ,,0, ,,0,"Within the middle-mile (Cato Cloud), Cato PoPs choose the best, SLA-backed carrier for every packet. Routing on SLA-backed carriers end-to-end eliminates the packet loss incurred during carrier peering. With the optimum network determined, Cato PoPs act as TCP proxies, dramatically improving end-to-end TCP throughput. As proxies, the PoPs make distant destination appear closer to TCP clients and servers, which allows them to set large TCP windows. As a result, clients and servers can pass far more data at once before waiting for acknowledgement. Azure environments (IaaS) can be connected to Cato Cloud and enjoy all the above mentioned benefits. Cato Cloud eliminates the need for express routes as packets will always take the optimal route to the destination and Cato pop's are strategically placed near big cloud egress points for good connectivity. SaaS application traffic can be sped up as well by keeping the traffic in Cato cloud and egressing the traffic as close to the destination as possible instead of doing a local break out of the SaaS traffic over the unpredictable internet.",,0, ,,0, ,,0,,,0, ,,0, ,,0,SDWan technology allows you to create unique priority profiles to ensure optimized delivery of business critical applications. Windstream welcomes the opportunity to discuss the details around these critical applications and how we can design a resilient and efficient network to best support them.,,0, ,,0,,
O365/Teams,10,Palo SD-WAN supports Application Aware Traffic Steering and Dynamic path Selection to monitor and steer customer specfic applications.,5,10,"Cato also improves public cloud application performance, such as Office 365, Cloud ERP, UCaaS, and Cloud Storage. Latency is reduced by optimally routing cloud application traffic across Cato’s global, private backbone to the Cato PoP closest to the cloud application provider’s datacenter. Cato’s built-in WAN optimization maximizes end-to-end throughput to improve application performance, especially around bandwidth-intensive operations, such as file transfers. All traffic and files exchanged with the cloud application are subject to full security inspection within the Cato SASE Cloud.",5,10,"Velocloud supports SaaS applications via their Cloud Gateways.  All traffic routed via the gateways support Dynamic Multi-Path Optimization, Forward Error Correction, and Packet Duplication.",3,6,"Cato also improves public cloud application performance, such as Office 365, Cloud ERP, UCaaS, and Cloud Storage. Latency is reduced by optimally routing cloud application traffic across Cato’s global, private backbone to the Cato PoP closest to the cloud application provider’s datacenter. Cato’s built-in WAN optimization maximizes end-to-end throughput to improve application performance, especially around bandwidth-intensive operations, such as file transfers. All traffic and files exchanged with the cloud application are subject to full security inspection within the Cato SASE Cloud.",5,10,"Dynamic link selection, application aware packet steering, link aggregation, error/jitter correction, prioritization (if contention exists",3,6,IPSLA-measurement,1,2,Yes,,0,VeloCloud Gateways are located in pairing points closest to Azure cloud. We can prioritize O365 traffic as needed.,3,6,application detection or destination subnet specific,1,2,See Cell 30,,0, ,,0,,
ITM - NCR Cloud,10,Palo SD-WAN supports Application Aware Traffic Steering and Dynamic path Selection to monitor and steer customer specfic applications.,5,10,"Cato also improves public cloud application performance, such as Office 365, Cloud ERP, UCaaS, and Cloud Storage. Latency is reduced by optimally routing cloud application traffic across Cato’s global, private backbone to the Cato PoP closest to the cloud application provider’s datacenter. Cato’s built-in WAN optimization maximizes end-to-end throughput to improve application performance, especially around bandwidth-intensive operations, such as file transfers. All traffic and files exchanged with the cloud application are subject to full security inspection within the Cato SASE Cloud.",5,10,"Velocloud supports SaaS applications via their Cloud Gateways.  All traffic routed via the gateways support Dynamic Multi-Path Optimization, Forward Error Correction, and Packet Duplication.",3,6,"Cato also improves public cloud application performance, such as ITM-ICR. Latency is reduced by optimally routing cloud application traffic across Cato’s global, private backbone to the Cato PoP closest to the cloud application provider’s data center. Cato’s built-in WAN optimization maximizes end-to-end throughput to improve application performance, especially around bandwidth-intensive operations, such as file transfers. All traffic and files exchanged with the cloud application are subject to full security inspection within the Cato SASE Cloud.",5,10,"Dynamic link selection, application aware packet steering, link aggregation, error/jitter correction, prioritization (if contention exists. Because this provider offers numerous solutions, application or platform specific conditions may apply.",3,6,IPSLA-measurement,1,2,Yes,,0,Ipsec Tunnel from the VeloCloud Gateway,3,6,application detection or destination subnet specific,1,2,See Cell 30,,0, ,,0,,
ServiceNow,10,Palo offers their Cloudblades integration for automatic ticketing.  CBTS is a ServiceNow shop as well and offers custom customer to CBTS ServiceNow integration.,5,10,"Cato also improves public cloud application performance, such as Office 365, Cloud ERP, UCaaS, and Cloud Storage. Latency is reduced by optimally routing cloud application traffic across Cato’s global, private backbone to the Cato PoP closest to the cloud application provider’s datacenter. Cato’s built-in WAN optimization maximizes end-to-end throughput to improve application performance, especially around bandwidth-intensive operations, such as file transfers. All traffic and files exchanged with the cloud application are subject to full security inspection within the Cato SASE Cloud.",5,10,"Velocloud supports SaaS applications via their Cloud Gateways.  All traffic routed via the gateways support Dynamic Multi-Path Optimization, Forward Error Correction, and Packet Duplication.",3,6,"Cato also improves public cloud application performance, such as ServiceNow. Latency is reduced by optimally routing cloud application traffic across Cato’s global, private backbone to the Cato PoP closest to the cloud application provider’s data center. Cato’s built-in WAN optimization maximizes end-to-end throughput to improve application performance, especially around bandwidth-intensive operations like file transfers. All traffic and files exchanged with the cloud application are subject to full security inspection within the Cato SASE Cloud.",5,10,"Dynamic link selection, application aware packet steering, link aggregation, error/jitter correction, prioritization (if contention exists",3,6,IPSLA-measurement,1,2,Yes,,0,Ipsec Tunnel from the VeloCloud Gateway,3,6,application detection or destination subnet specific,1,2,See Cell 30,,0, ,,0,,
Axiom Accounting,10,Palo SD-WAN supports Application Aware Traffic Steering and Dynamic path Selection to monitor and steer customer specfic applications.,5,10,"Cato also improves public cloud application performance, such as Office 365, Cloud ERP, UCaaS, and Cloud Storage. Latency is reduced by optimally routing cloud application traffic across Cato’s global, private backbone to the Cato PoP closest to the cloud application provider’s datacenter. Cato’s built-in WAN optimization maximizes end-to-end throughput to improve application performance, especially around bandwidth-intensive operations, such as file transfers. All traffic and files exchanged with the cloud application are subject to full security inspection within the Cato SASE Cloud.",5,10,"Velocloud supports SaaS applications via their Cloud Gateways.  All traffic routed via the gateways support Dynamic Multi-Path Optimization, Forward Error Correction, and Packet Duplication.",3,6,"Cato also improves public cloud application performance, such as Axiom Accounting. Latency is reduced by optimally routing cloud application traffic across Cato’s global, private backbone to the Cato PoP closest to the cloud application provider’s data center. Cato’s built-in WAN optimization maximizes end-to-end throughput to improve application performance, especially around bandwidth-intensive operations like file transfers. All traffic and files exchanged with the cloud application are subject to full security inspection within the Cato SASE Cloud.",5,10,"Dynamic link selection, application aware packet steering, link aggregation, error/jitter correction, prioritization (if contention exists",3,6,IPSLA-measurement,1,2,Yes,,0,Ipsec Tunnel from the VeloCloud Gateway,3,6,application detection or destination subnet specific,1,2,See Cell 30,,0, ,,0,,
Jack Henry Cloud - ,10,Palo SD-WAN supports Application Aware Traffic Steering and Dynamic path Selection to monitor and steer customer specfic applications.,5,10,"Cato also improves public cloud application performance, such as Office 365, Cloud ERP, UCaaS, and Cloud Storage. Latency is reduced by optimally routing cloud application traffic across Cato’s global, private backbone to the Cato PoP closest to the cloud application provider’s datacenter. Cato’s built-in WAN optimization maximizes end-to-end throughput to improve application performance, especially around bandwidth-intensive operations, such as file transfers. All traffic and files exchanged with the cloud application are subject to full security inspection within the Cato SASE Cloud.",5,10,"Velocloud supports SaaS applications via their Cloud Gateways.  All traffic routed via the gateways support Dynamic Multi-Path Optimization, Forward Error Correction, and Packet Duplication.",3,6,"Cato also improves public cloud application performance, such as Jack Henry Cloud. Latency is reduced by optimally routing cloud application traffic across Cato’s global, private backbone to the Cato PoP closest to the cloud application provider’s data center. Cato’s built-in WAN optimization maximizes end-to-end throughput to improve application performance, especially around bandwidth-intensive operations like file transfers. All traffic and files exchanged with the cloud application are subject to full security inspection within the Cato SASE Cloud.",5,10,Dependent on current / planned architecture as this provider offers numerous solutions which may influence how connectivity is established and functionality available. ,3,6,IPSLA-measurement,1,2,Yes,,0,Ipsec Tunnel from the VeloCloud Gateway,3,6,application detection or destination subnet specific,1,2,See Cell 30,,0, ,,0,,
