Question,Default Weight,Category,Opportunity Type,Opportunity Subtypes
Do you offer Technical Account Management service,10,Support,Cloud,DRaaS
Do you have premier support options ( IE persistent support engineering resources) ,10,Support,Cloud,DRaaS
Do you have a support model where engineering/support resources are either dedicated or persistent,10,Support,Cloud,DRaaS
Ratio of support engineers to total staff,10,Support,Cloud,DRaaS
"What are your SLA's for Disaster Recovery (RPO/RTO, Time to bring protected systems online after decleration etc.)",10,Service Level Agreements,Cloud,DRaaS
"SSAE 16 SOC I/II/III, PCI DSS, HIPAA, HiTRUST, GDPR, FedRamp, FISMA etc, please list",10,Compliance,Cloud,DRaaS
Do you have a dedicated compliance team,10,Compliance,Cloud,DRaaS
Do you assist client with audits,10,Compliance,Cloud,DRaaS
Do you have 24/7/365 staffed NOC,10,Support,Cloud,DRaaS
Do you have multiple NOC's (list locations) ,10,Support,Cloud,DRaaS
"Is support US based, offshore, hybrid, if offshore list locations",Info,Support,Cloud,DRaaS
24/7/365 support for cloud services,10,Support,Cloud,DRaaS
"Do you have premier support options ( IE persistent support engineering resources, dedicatd support options) ",10,Support,Cloud,DRaaS
"What support KPI's do you track (Ticket response times, resolution times, phone hold times etc.) Can you share the KPI numbers?",10,Support,Cloud,DRaaS
"How do you track client support satisfaction, NPS etc.?",10,Support,Cloud,DRaaS
Ratio of support engineers to total staff / Ratio of support engineers to clients,10,Support,Cloud,DRaaS
"What client interaction options do you have (phone,ticketing,chat etc.)",10,Support,Cloud,DRaaS
What is your mean time to answer support request,10,Support,Cloud,DRaaS
What is your mean time to resolution,10,Support,Cloud,DRaaS
What technology certifications do your support engineers hold/how many engineers are certififed,10,Support,Cloud,DRaaS
Do you support ebonding with Service Now,10,Support,Cloud,DRaaS
How do you communicate change management/maintenance windows to clients,10,Support,Cloud,DRaaS
Internet Bandwidth ,10,SLAs,Cloud,DRaaS
Multi-Tenant Cloud,10,SLAs,Cloud,DRaaS
Private Cloud,10,SLAs,Cloud,DRaaS
Backup ,10,SLAs,Cloud,DRaaS
Disaster Recovery,10,SLAs,Cloud,DRaaS
"Data center services (power,cooling)",10,SLAs,Cloud,DRaaS
Do you offer VMware multi-tenant Cloud,Info,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
Do you offer VMware private cloud Cloud,Info,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
Briefly describe Private cloud platform(s),10,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
Briefly describe Multi-Tenant cloud platform,10,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
List locations/geographies where you offer Private and Multi-Tenant cloud services,Info,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
"Do you offer a portal for customer management of cloud resources ( deploy vm, change virtual hardware, shutdown/power on, clone vm, templates, view resource utilization etc.)",10,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
Do you leverage VMware VCD,Info,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
"Does your multi-tenant and/or private cloud  offer VMware NSX features, please list",10,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
List options for hyper-converged  Private Cloud,Info,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
"Do you offer shared storage options, if so please list tiers and associated performance levels",10,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
Published API for orchestration,10,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
"Monitoring/alerting ( up/down, vCPU utilization, memory utilization, file system utilization, processes , apps etc)",10,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
Do you offer cloud readiness assessment for VMware based multi-tenant/private cloud,10,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
Do you offer migration assistance from customer premise (VMware) workloads? If so please explain capabilities,10,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
"Can customers co-manage or have read only access to aspects of cloud services (Firewall/Load Balancer/vCenter etc.), if so please list components that can be co-managedor have RO access",10,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
How do you charge for multi-tenant cloud,10,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
How do you charge for private cloud,10,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
Do you support hybrid cloud (Multi-tenant and private cloud connected via layer 2),10,Vmware: Multi-Tenant/Private Cloud,Cloud,DRaaS
"Describe your connectivity options to Azure, AWS and GCP",10,Network,Cloud,DRaaS
"Latencies (DC to DC, DC to Azure/AWS/GCP)",Info,Network,Cloud,DRaaS
What load balancing options to you offer,10,Network,Cloud,DRaaS
"Are you carrier agnostic, can client bring circuits, SDWAN",10,Network,Cloud,DRaaS
"Do you offer Managed Firewall, list platform's",10,Security,Cloud,DRaaS
"Do you offer IDS/IPS, list platform's",10,Security,Cloud,DRaaS
"Do you offer Managed SIEM, list platform's",10,Security,Cloud,DRaaS
"Do you offer WAF, list platform's",10,Security,Cloud,DRaaS
Do you allow for co-management of sercurity infrastructure? If so please list platforms where co-management is supported,10,Security,Cloud,DRaaS
"Do you offer DDoS protection, list platform's",10,Security,Cloud,DRaaS
Do have a SOC,10,Security,Cloud,DRaaS
Do you offer MDR (Managed Detect and Response),10,Security,Cloud,DRaaS
"Do you offer managed backup services, list platform's",10,Data Protection - Backup,Cloud,DRaaS
Do you offer Image based backup supported,10,Data Protection - Backup,Cloud,DRaaS
Do you offer file level backup supported ,10,Data Protection - Backup,Cloud,DRaaS
Do you offer Microsoft VSS application consistency backups supported,10,Data Protection - Backup,Cloud,DRaaS
Local redundant and Geo redundant storage options,10,Data Protection - Backup,Cloud,DRaaS
Do you offer Self service restoration,10,Data Protection - Backup,Cloud,DRaaS
Do you offer Data encryption at rest,10,Data Protection - Backup,Cloud,DRaaS
Do you offer managed DRaaS,10,Data Protection - DR,Cloud,DRaaS
Do you offer customer and/or hybrid managed DRaaS,10,Data Protection - DR,Cloud,DRaaS
What are your supported RPO(s),10,Data Protection - DR,Cloud,DRaaS
How do you charge for DRaaS,10,Data Protection - DR,Cloud,DRaaS
Is a DR runbook created/maintained,10,Data Protection - DR,Cloud,DRaaS
What replication/orchestration technologies do you offer,10,Data Protection - DR,Cloud,DRaaS
How many tests are built into offering ,10,Data Protection - DR,Cloud,DRaaS
Do you support RedHat and Windows server OS's,10,Data Protection - DR,Cloud,DRaaS
"Do you offer managed AWS/Azure/Google, if so are there certain services not supported (PaaS/Microservices/AI/Big Data etc)",10,Data Protection - DR,Cloud,DRaaS
"Do you offer managed VMware on AWS/Azure, describe managed service offerings",10,Data Protection - DR,Cloud,DRaaS
Are your managed AWS/Azure/Google offering supported in house or outsourced to partner,10,AWS/Azure/Google,Cloud,DRaaS
Do you offer cost optimization services,Info,AWS/Azure/Google,Cloud,DRaaS
How many AWS/Azure/Google cerfified engineers  on staff,10,AWS/Azure/Google,Cloud,DRaaS
Do you offer cloud readiness asessments for AWS/Azure/Google if so is this in house or outsourced to partner,10,AWS/Azure/Google,Cloud,DRaaS
"Do you offer cloud transformation (replatform/refactor workloads and applications), if so is this in house or outsourced to partner",10,AWS/Azure/Google,Cloud,DRaaS
Do you offer migration assistance from customer premise (VMware) workloads to AWS/Azure/Google? If so please explain capabilities,Info,AWS/Azure/Google,Cloud,DRaaS
"Do you offer colocation, if so list minimum space/cabinet requirements",10,AWS/Azure/Google,Cloud,DRaaS
Describe power delivery options (dedicated power whip/metered power),10,AWS/Azure/Google,Cloud,DRaaS
Year CCaaS platform introduced,Info,Colocation,Cloud,DRaaS
Current CCaaS endpoints deployed,Info,Colocation,Cloud,DRaaS
Prior names,10,Overview,CCaaS,Contact Center
Uptime SLA,10,Overview,CCaaS,Contact Center
Number of voice gateway datacenters,Info,Overview,CCaaS,Contact Center
Number of call control datacenters,10,Overview,CCaaS,Contact Center
Number of PSTN Carrier Connections,10,Overview,CCaaS,Contact Center
NOC locations,10,Overview,CCaaS,Contact Center
Compliance certifications,10,Overview,CCaaS,Contact Center
PCI,10,Overview,CCaaS,Contact Center
SOC2,10,Overview,CCaaS,Contact Center
Skills based routing,Pass/Fail,Overview,CCaaS,Contact Center
Variable skill levels,Pass/Fail,Overview,CCaaS,Contact Center
Maximum number of skills per agent,Pass/Fail,Functional Requirements,CCaaS,Contact Center
Software compatibility,Pass/Fail,Functional Requirements,CCaaS,Contact Center
Chrome/Chromium/Edge web client,10,Functional Requirements,CCaaS,Contact Center
Fat client for Windows,10,Functional Requirements,CCaaS,Contact Center
Real time reporting,10,Functional Requirements,CCaaS,Contact Center
Historical reporting,10,Functional Requirements,CCaaS,Contact Center
Full call detail records,Pass/Fail,Functional Requirements,CCaaS,Contact Center
Selectable caller ID,Pass/Fail,Functional Requirements,CCaaS,Contact Center
OKTA SSO,10,Functional Requirements,CCaaS,Contact Center
Caller ID,10,Functional Requirements,CCaaS,Contact Center
After call work timer,Pass/Fail,Functional Requirements,CCaaS,Contact Center
Barge/Coach,Pass/Fail,Functional Requirements,CCaaS,Contact Center
Stored/accessible Chat/Email transcripts,Pass/Fail,Functional Requirements,CCaaS,Contact Center
Searchable?,Pass/Fail,Functional Requirements,CCaaS,Contact Center
Ability to manage hold music/hold messages,10,Functional Requirements,CCaaS,Contact Center
Per IVR/Queue RBAC,10,Functional Requirements,CCaaS,Contact Center
Omnichannel,10,Functional Requirements,CCaaS,Contact Center
Voice,10,Functional Requirements,CCaaS,Contact Center
Chat,10,Functional Requirements,CCaaS,Contact Center
Chatbots/Self service chat,Pass/Fail,Functional Requirements,CCaaS,Contact Center
Email,Pass/Fail,Functional Requirements,CCaaS,Contact Center
SMS,10,Functional Requirements,CCaaS,Contact Center
Social,Pass/Fail,Functional Requirements,CCaaS,Contact Center
Co-browsing,Pass/Fail,Functional Requirements,CCaaS,Contact Center
Escalate/transfer between channels,10,Functional Requirements,CCaaS,Contact Center
Admin Self Service,10,Functional Requirements,CCaaS,Contact Center
Visual call flow editor,10,Functional Requirements,CCaaS,Contact Center
Assign/request new TFN,10,Functional Requirements,CCaaS,Contact Center
Supervisor Self Service,10,Functional Requirements,CCaaS,Contact Center
Create/change/disable users,10,Functional Requirements,CCaaS,Contact Center
Set special days (holidays/closures/etc.),10,Functional Requirements,CCaaS,Contact Center
Force agent to not ready/log out,10,Functional Requirements,CCaaS,Contact Center
Set skills on agents,10,Functional Requirements,CCaaS,Contact Center
"Modify Queues, recordings",10,Functional Requirements,CCaaS,Contact Center
Automated Provisioning (Okta),10,Functional Requirements,CCaaS,Contact Center
Agent facing dashboard,10,Functional Requirements,CCaaS,Contact Center
Agent Assist,10,Functional Requirements,CCaaS,Contact Center
Pull from Sharepoint,10,Functional Requirements,CCaaS,Contact Center
Pull from CRM knowledgebase,10,Functional Requirements,CCaaS,Contact Center
Salesforce,10,Functional Requirements,CCaaS,Contact Center
Manual Search,10,Functional Requirements,CCaaS,Contact Center
AI based,10,Functional Requirements,CCaaS,Contact Center
Queued callback,10,Functional Requirements,CCaaS,Contact Center
Position in line/estimated wait time,10,Functional Requirements,CCaaS,Contact Center
Natural language voice IVR,10,Functional Requirements,CCaaS,Contact Center
Bypass IVR based on inbound caller ID and called phone number,10,Functional Requirements,CCaaS,Contact Center
Bypass IVR based on inbound area code and called phone number,10,Functional Requirements,CCaaS,Contact Center
Soft phone support,Pass/Fail,Functional Requirements,CCaaS,Contact Center
Client Authentication/Caller Verify,Pass/Fail,Functional Requirements,CCaaS,Contact Center
Internal Extension Transfers,Pass/Fail,Functional Requirements,CCaaS,Contact Center
Demand Forcasting,10,Functional Requirements,CCaaS,Contact Center
Agent Scheduling,10,Functional Requirements,CCaaS,Contact Center
Mock Schedules,Pass/Fail,Work Force Management,CCaaS,Contact Center
Report on compliance/adherance to schedule,Pass/Fail,Work Force Management,CCaaS,Contact Center
Mobile app for employees to manage their schedule,10,Work Force Management,CCaaS,Contact Center
PTO/Schedule management,Pass/Fail,Work Force Management,CCaaS,Contact Center
Gamification,10,Work Force Management,CCaaS,Contact Center
UKG (formerly Ultipro) HRIS Integration,Pass/Fail,Work Force Management,CCaaS,Contact Center
AI Assisted Scheduling ,10,Work Force Management,CCaaS,Contact Center
Language support - English and Spanish,10,Work Force Management,CCaaS,Contact Center
Quality Management,10,Work Force Management,CCaaS,Contact Center
AI based auto-scoring (100% scoring),10,QM and Post Call Analytics,CCaaS,Contact Center
Sentiment Analysis,10,QM and Post Call Analytics,CCaaS,Contact Center
Ability to handle multiple dialects and ESL,10,QM and Post Call Analytics,CCaaS,Contact Center
Call transcription,10,QM and Post Call Analytics,CCaaS,Contact Center
Support for Spanish,10,QM and Post Call Analytics,CCaaS,Contact Center
Real time sentiment analysis with escalation,10,QM and Post Call Analytics,CCaaS,Contact Center
Screen recording,10,QM and Post Call Analytics,CCaaS,Contact Center
Screen recording tied to the voice recording,10,QM and Post Call Analytics,CCaaS,Contact Center
Ability to train the transcription or AI scoring,Pass/Fail,QM and Post Call Analytics,CCaaS,Contact Center
Custom scorecards,Pass/Fail,QM and Post Call Analytics,CCaaS,Contact Center
Customizable detailed reporting,10,QM and Post Call Analytics,CCaaS,Contact Center
Post Call Analytics,10,QM and Post Call Analytics,CCaaS,Contact Center
Auto disposition calls,10,QM and Post Call Analytics,CCaaS,Contact Center
Surface the reason for calls,10,QM and Post Call Analytics,CCaaS,Contact Center
SQL dips for telephone banking,10,QM and Post Call Analytics,CCaaS,Contact Center
FIS Horizon,10,QM and Post Call Analytics,CCaaS,Contact Center
NCR Voyix - Digital Insight,Pass/Fail,Inegrations,CCaaS,Contact Center
Open APIs,Pass/Fail,Inegrations,CCaaS,Contact Center
Lexis Nexis (Client Authentication),10,Inegrations,CCaaS,Contact Center
ServiceNow,10,Inegrations,CCaaS,Contact Center
Types of Bots/Channels,10,Inegrations,CCaaS,Contact Center
Language support,10,Inegrations,CCaaS,Contact Center
Multi-intent support,10,Inegrations,CCaaS,Contact Center
"Additional internal use cases (HR, Accounting, etc.)",10,Inegrations,CCaaS,Contact Center
"Pricing (Price varies by location/vehicle, etc. Requires about 10 questions to determine)",10,Functional Rqquirements ,CCaaS,IVA
Locations,10,Functional Rqquirements ,CCaaS,IVA
Hours (including any special closures stored in ServiceNow),10,Functional Rqquirements ,CCaaS,IVA
Live transfer to store in specific cases,10,Functional Rqquirements ,CCaaS,IVA
Live transfer to customer care,10,VCC,CCaaS,IVA
Agent-assist tie in to Service Now,10,VCC,CCaaS,IVA
Gathering information for the agent,10,VCC,CCaaS,IVA
Check stock/inventory,10,VCC,CCaaS,IVA
Password resets,10,VCC,CCaaS,IVA
Identify trends/search past cases,10,VCC,CCaaS,IVA
Warranty check,10,VCC,CCaaS,IVA
Equipment ordering/provisioning with validation,10,VCC,CCaaS,IVA
"Identify repeat callers (provide updates, correct routing)",10,VIOC Help Desk use cases:,CCaaS,IVA
Confirm tech dispatch/approved onsite,10,VIOC Help Desk use cases:,CCaaS,IVA
Gather information from the caller/Open ticket,10,VIOC Help Desk use cases:,CCaaS,IVA
Triage - send calls to the correct group (reduce transfers from agents),10,VIOC Help Desk use cases:,CCaaS,IVA
"Tap into AI Ops to get ticket status, send notifications, be proactive",10,VIOC Help Desk use cases:,CCaaS,IVA
Invoice lookup,10,VIOC Help Desk use cases:,CCaaS,IVA
Case lookup and pass to agent,10,VIOC Help Desk use cases:,CCaaS,IVA
Invoice request,10,VIOC Help Desk use cases:,CCaaS,IVA
Check claim status,10,VIOC Help Desk use cases:,CCaaS,IVA
Accept payment,10,Customer Care use cases: ,CCaaS,IVA
Outbound calls or SMS reminders to update tickets/claims,10,Customer Care use cases: ,CCaaS,IVA
Allow managers to include a bot in a claim denial call to record and transcribe,10,Customer Care use cases: ,CCaaS,IVA
"Allow managers to update claim tickets (record, transcribe and update CRM)",10,Customer Care use cases: ,CCaaS,IVA
Accent Neutralization,10,Customer Care use cases: ,CCaaS,IVA
AI Knowledge search,10,Customer Care use cases: ,CCaaS,IVA
Interaction summarization,10,Customer Care use cases: ,CCaaS,IVA
Next best action guidance,10,Customer Care use cases: ,CCaaS,IVA
Real-time agent coaching,10,Additional Capabilities for Agent Interactions,CCaaS,IVA
Noise Cancellation,10,Additional Capabilities for Agent Interactions,CCaaS,IVA
Promise management,10,Additional Capabilities for Agent Interactions,CCaaS,IVA
Real-time language translation,10,Additional Capabilities for Agent Interactions,CCaaS,IVA
AI CSAT,10,Additional Capabilities for Agent Interactions,CCaaS,IVA
Agent and Business Insights,10,Additional Capabilities for Agent Interactions,CCaaS,IVA
AI auto-scoring for QM,10,Additional Capabilities for Agent Interactions,CCaaS,IVA
Pricing model,10,Additional Capabilities for Agent Interactions,CCaaS,IVA
In Contact,10,Additional Capabilities for Agent Interactions,CCaaS,IVA
Pass interaction data into In Contact for live agent (or into Service Now),10,Additional Capabilities for Agent Interactions,CCaaS,IVA
Service Now,10,Additional Capabilities for Agent Interactions,CCaaS,IVA
In house pricing tool,10,Additional Capabilities for Agent Interactions,CCaaS,IVA
Workday,10,Additional Capabilities for Agent Interactions,CCaaS,IVA
Monday.com,Pass/Fail,Integrations,CCaaS,IVA
ISI POS (does not appear to have any API capability),10,Integrations,CCaaS,IVA
In house POS (Custom) - need open APIs,10,Integrations,CCaaS,IVA
LLMs,10,Integrations,CCaaS,IVA
Retail specific use cases,10,Integrations,CCaaS,IVA
Network Monitoring (Solarwinds),10,Integrations,CCaaS,IVA
Network Monitoring (FortiMonitor),10,Integrations,CCaaS,IVA
Year UCaaS platform introduced,10,Integrations,CCaaS,IVA
Current UCaaS seats deployed,10,Integrations,CCaaS,IVA
Number of carrier NNIs into the PSTN,10,Integrations,CCaaS,IVA
SOX,10,Integrations,CCaaS,IVA
GDPR,10,Integrations,CCaaS,IVA
CCPA (California Consumer Privacy Act),10,Overview,UCaaS,Phone System
Support multiple sites,10,Overview,UCaaS,Phone System
Automated failover between multiple datacenters for call control,Info,Overview,UCaaS,Phone System
Are datacenters active/active?,10,Overview,UCaaS,Phone System
VM to Email,10,Overview,UCaaS,Phone System
VM to text/SMS,10,Overview,UCaaS,Phone System
VM transcription,10,Overview,UCaaS,Phone System
Shared VM boxes,10,Overview,UCaaS,Phone System
Integrated corporate directory,10,Overview,UCaaS,Phone System
Pull corporate directory from AD,Pass/Fail,Overview,UCaaS,Phone System
Add outside phones/numbers to corporate directory,Pass/Fail,Overview,UCaaS,Phone System
Do you support gateways for site survivability,Pass/Fail,Overview,UCaaS,Phone System
Hunt groups,Pass/Fail,Overview,UCaaS,Phone System
Time of day routing for hunt groups,Pass/Fail,Functional Requirements,UCaaS,Phone System
Hoteling/Hot Desking,Pass/Fail,Functional Requirements,UCaaS,Phone System
Single number reach,10,Functional Requirements,UCaaS,Phone System
Multiple DIDs per user (for ACD integration),Pass/Fail,Functional Requirements,UCaaS,Phone System
Number of concurrent call paths per user,10,Functional Requirements,UCaaS,Phone System
Forgerock SSO integration (SAML compliant),10,Functional Requirements,UCaaS,Phone System
Import/provision users from Active Directory,Pass/Fail,Functional Requirements,UCaaS,Phone System
Call detail records,Pass/Fail,Functional Requirements,UCaaS,Phone System
Automated reports,20,Functional Requirements,UCaaS,Phone System
End user account management,10,Functional Requirements,UCaaS,Phone System
Configuration APIs,10,Functional Requirements,UCaaS,Phone System
Bulk admin by CSV/Import,Pass/Fail,Functional Requirements,UCaaS,Phone System
Full admin access for administrators,Pass/Fail,Functional Requirements,UCaaS,Phone System
Create hunt group,10,Functional Requirements,UCaaS,Phone System
MACD users,10,Functional Requirements,UCaaS,Phone System
MACD endpoints,10,Functional Requirements,UCaaS,Phone System
MACD Hunt/IVR,10,Functional Requirements,UCaaS,Phone System
Role based access control for admins,Pass/Fail,Functional Requirements,UCaaS,Phone System
Softphone client,10,Functional Requirements,UCaaS,Phone System
PC support,Pass/Fail,Functional Requirements,UCaaS,Phone System
Mac support,Pass/Fail,Functional Requirements,UCaaS,Phone System
Mobile Client,10,Functional Requirements,UCaaS,Phone System
iPhone,10,Functional Requirements,UCaaS,Phone System
Android,10,Functional Requirements,UCaaS,Phone System
Web based client,10,Functional Requirements,UCaaS,Phone System
Chromium Edge,Pass/Fail,Functional Requirements,UCaaS,Phone System
Chrome support,Pass/Fail,Functional Requirements,UCaaS,Phone System
Hardphone support,Pass/Fail,Functional Requirements,UCaaS,Phone System
Polycom,Pass/Fail,Functional Requirements,UCaaS,Phone System
Cisco,Pass/Fail,Functional Requirements,UCaaS,Phone System
Avaya 9608,10,Functional Requirements,UCaaS,Phone System
"Generic SIP endpoints (Crestron, etc.)",Pass/Fail,Functional Requirements,UCaaS,Phone System
ATA,10,Functional Requirements,UCaaS,Phone System
Automatic Ringdown (PLAR),10,Functional Requirements,UCaaS,Phone System
Internal central notification for 911 calls,10,Functional Requirements,UCaaS,Phone System
e911,10,Functional Requirements,UCaaS,Phone System
Included faxing platform,10,Functional Requirements,UCaaS,Phone System
T.38 faxing support for ATAs,10,Functional Requirements,UCaaS,Phone System
Force outbound caller ID per user,10,Functional Requirements,UCaaS,Phone System
Inbound caller ID name and number,10,Functional Requirements,UCaaS,Phone System
Auto Attendant with call handlers,10,Functional Requirements,UCaaS,Phone System
Logging and reporting of administrative activity,10,Functional Requirements,UCaaS,Phone System
Call quality reporting/troubleshooting,10,Functional Requirements,UCaaS,Phone System
Real Time,10,Functional Requirements,UCaaS,Phone System
Historical,10,Functional Requirements,UCaaS,Phone System
"Per user calling priveleges (LD, international, etc.) - Extension or calling code based",10,Functional Requirements,UCaaS,Phone System
System wide call blocking,Pass/Fail,Functional Requirements,UCaaS,Phone System
Per user incoming call blocking,Pass/Fail,Functional Requirements,UCaaS,Phone System
Office 365,10,Functional Requirements,UCaaS,Phone System
MS Outlook,10,Functional Requirements,UCaaS,Phone System
